file_path,label,subject_name,timestamp,image_name,annotation_name,label_index,split,feature_000,feature_001,feature_002,feature_003,feature_004,feature_005,feature_006,feature_007,feature_008,feature_009,feature_010,feature_011,feature_012,feature_013,feature_014,feature_015,feature_016,feature_017,feature_018,feature_019,feature_020,feature_021,feature_022,feature_023,feature_024,feature_025,feature_026,feature_027,feature_028,feature_029,feature_030,feature_031,feature_032,feature_033,feature_034,feature_035,feature_036,feature_037,feature_038,feature_039,feature_040,feature_041,feature_042,feature_043,feature_044,feature_045,feature_046,feature_047,feature_048,feature_049,feature_050,feature_051,feature_052,feature_053,feature_054,feature_055,feature_056,feature_057,feature_058,feature_059,feature_060,feature_061,feature_062,feature_063,feature_064,feature_065,feature_066,feature_067,feature_068,feature_069,feature_070,feature_071,feature_072,feature_073,feature_074,feature_075,feature_076,feature_077,feature_078,feature_079,feature_080,feature_081,feature_082,feature_083,feature_084,feature_085,feature_086,feature_087,feature_088,feature_089,feature_090,feature_091,feature_092,feature_093,feature_094,feature_095,feature_096,feature_097,feature_098,feature_099
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P161_OP125_2023_07_05_Experiment1\2023_07_05_12_17_00\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P161,2023_07_05_12_17_00,P161#2023_07_05_12_17_00#CSV1,csv_spectrum,0,train,0.10614824,0.104422525,0.09901467,0.09030944,0.082291424,0.07543325,0.06861747,0.065173686,0.06409982,0.06515576,0.06732314,0.06785207,0.06747454,0.0650886,0.062141765,0.06310114,0.071645655,0.08546145,0.10086338,0.11748206,0.13602456,0.15661503,0.17662439,0.1943328,0.20842454,0.21884249,0.22568317,0.23157087,0.23650227,0.24058598,0.244539,0.24859388,0.25357938,0.26035967,0.26894495,0.27855888,0.28941658,0.300203,0.31087738,0.3207538,0.32849112,0.33541578,0.34221524,0.34946686,0.3560133,0.36072823,0.36256635,0.3605725,0.35557434,0.34723783,0.33950755,0.33497274,0.33784592,0.34840322,0.36207208,0.37641695,0.3882811,0.3974223,0.4053573,0.41071782,0.41426396,0.41746378,0.41918454,0.41977385,0.42,0.41902855,0.41719735,0.41682404,0.4168745,0.41624418,0.415824,0.41470593,0.4143062,0.4125704,0.41132143,0.40966365,0.408188,0.40652016,0.4050057,0.40417722,0.40312615,0.40357825,0.40399006,0.40360242,0.40341777,0.40267572,0.399719,0.39605805,0.3927022,0.38869524,0.38020602,0.36764953,0.3545431,0.34861735,0.3464653,0.3479829,0.34918055,0.3482937,0.3394117,0.32720867
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P161_OP125_2023_07_05_Experiment1\2023_07_05_12_17_00\_hypergui_1\spectrum_fromCSV5_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P161,2023_07_05_12_17_00,P161#2023_07_05_12_17_00#CSV5,csv_spectrum,0,train,2.2429078,2.2593098,2.3124874,2.4045134,2.4974883,2.5845072,2.679208,2.7306995,2.7473137,2.7309747,2.6982512,2.6904254,2.696005,2.7320058,2.778,2.7630165,2.6360228,2.4596899,2.2939882,2.1414697,1.9949198,1.8539644,1.73373,1.6381831,1.5681782,1.519403,1.4886231,1.4628693,1.4417975,1.4246777,1.4083805,1.3919348,1.3720784,1.3456912,1.3132485,1.2781259,1.2398882,1.2032964,1.1683567,1.1370814,1.1132455,1.0923843,1.0723153,1.0513465,1.0327872,1.0196304,1.0145478,1.0200623,1.0340209,1.0577453,1.0802591,1.0937061,1.0851654,1.0543948,1.0159119,0.9770578,0.94602567,0.9227558,0.90298635,0.8898489,0.88125193,0.8735575,0.869444,0.8680392,0.8673492,0.86981624,0.87419593,0.87509114,0.8749701,0.8764832,0.8774932,0.8801856,0.88115,0.88534844,0.8883803,0.8924188,0.89602745,0.90012175,0.90385413,0.90590185,0.90850574,0.9073849,0.906365,0.90732497,0.9077826,0.9096237,0.9169935,0.9261945,0.9347037,0.9449597,0.967042,1.0006251,1.0369254,1.0537804,1.0599726,1.055602,1.0521661,1.0547092,1.0805415,1.1171103
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P161_OP125_2023_07_05_Experiment1\2023_07_05_12_17_30\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P161,2023_07_05_12_17_30,P161#2023_07_05_12_17_30#CSV1,csv_spectrum,0,train,0.10406599,0.10242151,0.096428305,0.08802132,0.080084175,0.073379554,0.06667037,0.063748285,0.06239023,0.06359269,0.06544636,0.06604648,0.06569663,0.063544795,0.06,0.06088016,0.06897859,0.08308312,0.09830165,0.11565539,0.13422799,0.1540218,0.17383918,0.1919209,0.2055434,0.21608588,0.22320916,0.22909304,0.23388918,0.23827499,0.24159357,0.24602365,0.25155056,0.2577816,0.26620394,0.27587086,0.28673843,0.29783216,0.30779976,0.31755286,0.32571515,0.33250427,0.3396837,0.34692067,0.35342842,0.35853142,0.36074755,0.35928935,0.35376924,0.34711298,0.33985704,0.33522338,0.3380115,0.34811988,0.36215585,0.375576,0.3876944,0.3972168,0.4043805,0.40978137,0.41365713,0.4165687,0.41849104,0.419,0.419,0.41828668,0.41675955,0.41647112,0.41628808,0.41519842,0.4148413,0.41393018,0.41327733,0.4119764,0.4108397,0.40845883,0.4072811,0.40507936,0.40387017,0.40237105,0.40221274,0.40239835,0.40284538,0.40292457,0.40242636,0.40172574,0.39886117,0.39535868,0.39172798,0.38827103,0.3807776,0.36759847,0.35375696,0.34749144,0.3466125,0.34823626,0.3502248,0.34912315,0.34061027,0.32825744
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P161_OP125_2023_07_05_Experiment1\2023_07_05_12_17_30\_hypergui_1\spectrum_fromCSV5_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P161,2023_07_05_12_17_30,P161#2023_07_05_12_17_30#CSV5,csv_spectrum,0,train,2.2627301,2.2786586,2.3389554,2.4301763,2.5246768,2.61211,2.7079945,2.752813,2.7743466,2.7552567,2.7265244,2.7173967,2.7227077,2.75601,2.8146713,2.798848,2.673959,2.4879136,2.3197145,2.1571403,2.0082154,1.8706611,1.7496246,1.650672,1.582098,1.5320793,1.4996461,1.4736271,1.4529078,1.4343297,1.4204984,1.4023275,1.3801112,1.3556426,1.3234925,1.2878224,1.2491848,1.2112252,1.1783059,1.147111,1.121732,1.1011026,1.0797404,1.0586591,1.0400743,1.025739,1.0195768,1.0236273,1.0391104,1.058105,1.0792303,1.0929582,1.0846753,1.0552083,1.0156807,0.9792945,0.9475379,0.923273,0.9053991,0.89213157,0.88271785,0.8757038,0.8710998,0.8692491,0.8692113,0.87158823,0.87524587,0.8759382,0.8763778,0.87899876,0.8798593,0.8820579,0.8836365,0.8867892,0.8895521,0.89536417,0.89825165,0.90367234,0.90666187,0.9103806,0.9107741,0.9103128,0.90920246,0.9090059,0.91024315,0.91198564,0.9191418,0.9279618,0.93718755,0.9460517,0.96553975,1.0007641,1.0391451,1.0570152,1.0595479,1.0548742,1.04918,1.0523305,1.0770164,1.1139572
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P162_OP126_2023_07_06_Experiment1\2023_07_06_13_19_21\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P162,2023_07_06_13_19_21,P162#2023_07_06_13_19_21#CSV1,csv_spectrum,0,train,0.10427752,0.10324642,0.09804851,0.08956731,0.08193513,0.0756825,0.069091395,0.064885736,0.063134626,0.062232338,0.06380939,0.06526018,0.06625603,0.066769324,0.06648199,0.06971284,0.0793842,0.09461196,0.11245216,0.13410717,0.15835343,0.18355042,0.20901531,0.23198159,0.24976312,0.26233658,0.27176124,0.27923432,0.28527072,0.29050505,0.29584587,0.3006043,0.30735657,0.31602725,0.32650644,0.33796522,0.35108247,0.36376527,0.3758401,0.38654643,0.3957962,0.40383372,0.41212988,0.41989592,0.427029,0.43332776,0.43617454,0.43532234,0.43203154,0.4263302,0.4201646,0.41743538,0.42142954,0.43160018,0.44533652,0.45896018,0.4703393,0.47994965,0.48687676,0.49229193,0.49653238,0.49924576,0.5010162,0.502,0.5019832,0.5002926,0.4982857,0.4976269,0.49706003,0.49734178,0.49671417,0.49601364,0.49503955,0.49398786,0.49324945,0.4919154,0.49059772,0.4889576,0.48803768,0.4866796,0.48558515,0.4855112,0.48456594,0.48354095,0.48106194,0.47874513,0.47293693,0.46697295,0.458242,0.44972357,0.43838352,0.42271456,0.4046698,0.39575878,0.3936452,0.39715192,0.40222692,0.4047108,0.4000832,0.38922033
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P162_OP126_2023_07_06_Experiment1\2023_07_06_13_19_21\_hypergui_1\spectrum_fromCSV5_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P162,2023_07_06_13_19_21,P162#2023_07_06_13_19_21#CSV5,csv_spectrum,0,train,2.2606995,2.2706368,2.322293,2.4127648,2.5018275,2.5812082,2.6723251,2.7351274,2.762486,2.7768805,2.751855,2.7293732,2.7142289,2.7065115,2.7108243,2.6633708,2.5334558,2.3579714,2.1852274,2.009116,1.8429258,1.6952659,1.5653478,1.4610972,1.3872423,1.3381269,1.3028314,1.275704,1.2543167,1.2361343,1.2179167,1.2019604,1.1797467,1.1519269,1.1193056,1.0848123,1.0467341,1.0112464,0.9785915,0.9505033,0.9268558,0.90675205,0.88641673,0.86774844,0.85090333,0.83626086,0.8297128,0.8316685,0.8392567,0.8525411,0.86710876,0.8736255,0.86410266,0.8402556,0.80892503,0.77879184,0.75430095,0.73407406,0.71974427,0.7086834,0.70010656,0.6946568,0.69111687,0.689,0.6891886,0.69256216,0.69658166,0.6979047,0.69904447,0.6984778,0.6997405,0.70115185,0.7031176,0.70524436,0.70674026,0.7094485,0.7121308,0.7154795,0.71736264,0.7201493,0.7224006,0.7225529,0.7245017,0.72661924,0.73175925,0.7365869,0.74879324,0.76148397,0.78035784,0.79912215,0.82466114,0.8610581,0.9046839,0.9269504,0.9323053,0.9234364,0.9107389,0.90458256,0.91608274,0.9436097
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P162_OP126_2023_07_06_Experiment1\2023_07_06_13_19_51\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P162,2023_07_06_13_19_51,P162#2023_07_06_13_19_51#CSV1,csv_spectrum,0,train,0.100309014,0.10020425,0.095242225,0.08725504,0.08004383,0.07440612,0.06818117,0.06402527,0.062025607,0.061436683,0.062726066,0.06406026,0.06522468,0.06600578,0.06581098,0.06913564,0.07826637,0.09294976,0.11063126,0.1319783,0.15591747,0.1810448,0.20634362,0.22962159,0.24739635,0.26016337,0.26989812,0.2772872,0.2833402,0.28894842,0.2942375,0.2995027,0.30632332,0.31527388,0.3256526,0.3376373,0.35063073,0.3632859,0.37565696,0.3866409,0.39599746,0.4041041,0.41228563,0.42042047,0.42779502,0.43416145,0.43708387,0.43655193,0.43270102,0.4266191,0.42036876,0.4176913,0.4214719,0.43201387,0.44614547,0.46026522,0.47236383,0.4823394,0.48948085,0.49513075,0.49975935,0.5026326,0.50478053,0.506,0.50578916,0.5042157,0.50259614,0.50163865,0.5016397,0.5012795,0.50076187,0.50023997,0.49932444,0.498079,0.49714,0.49573314,0.49387854,0.4928319,0.49122894,0.49019235,0.4895141,0.48900104,0.48823732,0.48680437,0.48467356,0.48217863,0.47641495,0.47017193,0.46184796,0.45237643,0.44117442,0.42445585,0.40673327,0.3984828,0.3959906,0.3993907,0.4018666,0.4045431,0.39954463,0.3890047
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P162_OP126_2023_07_06_Experiment1\2023_07_06_13_19_51\_hypergui_1\spectrum_fromCSV5_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P162,2023_07_06_13_19_51,P162#2023_07_06_13_19_51#CSV5,csv_spectrum,0,train,2.2994998,2.3005447,2.3513317,2.43892,2.5251808,2.598217,2.685587,2.7484775,2.780208,2.7897482,2.768978,2.747931,2.7299175,2.7180128,2.7209687,2.6716847,2.5476375,2.3756962,2.2015529,2.0251176,1.8584285,1.7090108,1.5782125,1.4713225,1.3967636,1.3464456,1.3097107,1.2827015,1.261107,1.241507,1.2233679,1.2056317,1.183114,1.1543136,1.121924,1.085783,1.0480217,1.0125651,0.9790789,0.95025885,0.9263475,0.90608275,0.8860389,0.8665,0.8491111,0.8343388,0.82763016,0.8288479,0.83770823,0.8518636,0.8666229,0.87301266,0.86400217,0.8392976,0.8071102,0.77595246,0.7500058,0.72910726,0.71440995,0.70293343,0.6936286,0.6878958,0.6836315,0.68113595,0.6816353,0.68475115,0.6879684,0.68987525,0.6898731,0.69059145,0.6916246,0.69266737,0.69449925,0.69699657,0.6988836,0.70171756,0.7054657,0.7075871,0.710845,0.7129574,0.714342,0.7153907,0.7169537,0.719893,0.72427964,0.7294407,0.74146605,0.75465685,0.7725195,0.79324067,0.818315,0.8569473,0.8995977,0.9200909,0.9263648,0.9178152,0.91163504,0.904997,0.9174298,0.9441638
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P162_OP126_2023_07_06_Experiment1\2023_07_06_13_20_21\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P162,2023_07_06_13_20_21,P162#2023_07_06_13_20_21#CSV1,csv_spectrum,0,train,0.09924472,0.098168485,0.09291774,0.08495546,0.078045815,0.07230385,0.065460436,0.061634455,0.059889983,0.059186537,0.060778175,0.0619793,0.06285618,0.06327158,0.06287881,0.06564645,0.07442886,0.08845781,0.10589598,0.1266032,0.15027276,0.17491722,0.1998104,0.22267376,0.24017765,0.25278807,0.2622734,0.26987398,0.2758718,0.2812968,0.2864272,0.291799,0.29902303,0.30744717,0.31791645,0.32973668,0.34245774,0.35521832,0.36743435,0.37807316,0.3872834,0.39582255,0.40426695,0.411908,0.41963744,0.425884,0.4288813,0.4284564,0.42477515,0.41860262,0.41243663,0.409436,0.41342893,0.4241139,0.43872353,0.45269832,0.46505272,0.47483543,0.48246792,0.48821384,0.4925842,0.49589658,0.49797985,0.49875936,0.49870273,0.4976411,0.49576467,0.49457097,0.49463218,0.49446213,0.49395567,0.49331075,0.4924979,0.4911915,0.49000567,0.48867044,0.4874597,0.48587942,0.48442614,0.48326164,0.4825156,0.48213288,0.4813306,0.4803895,0.47819358,0.47596234,0.47077298,0.46479848,0.45653686,0.44821164,0.43698782,0.42144218,0.4044868,0.39550185,0.39425278,0.39794362,0.40214965,0.40443274,0.40090805,0.3907412
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P162_OP126_2023_07_06_Experiment1\2023_07_06_13_20_21\_hypergui_1\spectrum_fromCSV5_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P162,2023_07_06_13_20_21,P162#2023_07_06_13_20_21#CSV5,csv_spectrum,0,train,2.3101666,2.32107,2.3760407,2.4656281,2.5504591,2.626878,2.7263093,2.7865343,2.815246,2.827,2.8005245,2.7809548,2.766906,2.760319,2.766546,2.7234719,2.5979116,2.4252295,2.245298,2.0666976,1.8953032,1.7434424,1.6103864,1.5020475,1.4263765,1.3752038,1.3383678,1.3098001,1.2878189,1.268345,1.2502708,1.23169,1.2072346,1.1794521,1.1459666,1.1094608,1.071607,1.0350227,1.0012106,0.9726676,0.9485985,0.9267893,0.9056798,0.88695526,0.86836416,0.8535882,0.84657514,0.8475663,0.85619533,0.8708332,0.8856727,0.89297473,0.88326967,0.8577532,0.8238858,0.79252934,0.7656045,0.744787,0.7288408,0.7170018,0.7080899,0.7013879,0.69719565,0.696,0.696,0.69787616,0.7016539,0.7040646,0.70394087,0.7042847,0.7053095,0.706616,0.7082651,0.71092117,0.7133383,0.71606696,0.7185477,0.7217948,0.7247903,0.72719705,0.728742,0.7295355,0.73120093,0.73315805,0.7377396,0.74241656,0.7533793,0.76615137,0.7840858,0.80248976,0.82785,0.8640727,0.90513617,0.9275998,0.930763,0.92144495,0.910931,0.9052698,0.91402316,0.93970984
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P162_OP126_2023_07_06_Experiment1\2023_07_06_13_20_51\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P162,2023_07_06_13_20_51,P162#2023_07_06_13_20_51#CSV1,csv_spectrum,0,train,0.097395636,0.0966956,0.09191662,0.08441103,0.07685572,0.070924364,0.06456872,0.0611917,0.05907372,0.058401536,0.0598315,0.06104111,0.061962884,0.062365334,0.06200195,0.065143,0.07370732,0.087583065,0.10488539,0.12528713,0.14878045,0.17356199,0.19862083,0.22098418,0.2384695,0.25147942,0.26086307,0.2683126,0.27427086,0.27988863,0.2851724,0.29049683,0.29746214,0.3061453,0.31676677,0.328352,0.34151387,0.35442913,0.36631066,0.3772245,0.38624775,0.39487302,0.40294975,0.41077867,0.41824228,0.4249181,0.42762598,0.42696598,0.4231441,0.41719884,0.41090852,0.4081342,0.41240692,0.42350358,0.4376058,0.4518623,0.46405128,0.47436133,0.48157927,0.48784798,0.49201557,0.4947015,0.4973772,0.49866205,0.49841613,0.49690184,0.4951774,0.49447358,0.49424383,0.49363518,0.49323928,0.49246562,0.49132448,0.4901471,0.4890813,0.4875965,0.48606333,0.48449922,0.4831395,0.48200437,0.48090553,0.48060337,0.47994348,0.4787196,0.4765357,0.4743972,0.4685877,0.46201918,0.45380133,0.44605705,0.43490535,0.41886404,0.40148836,0.39323878,0.39137438,0.39508373,0.39987233,0.40211692,0.39753187,0.38835412
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P162_OP126_2023_07_06_Experiment1\2023_07_06_13_20_51\_hypergui_1\spectrum_fromCSV5_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P162,2023_07_06_13_20_51,P162#2023_07_06_13_20_51#CSV5,csv_spectrum,0,train,2.3289738,2.3361874,2.3868735,2.472057,2.5658255,2.6461413,2.7400253,2.7937436,2.8289692,2.84,2.816223,2.7962077,2.7812197,2.7747457,2.7805893,2.7311704,2.6076531,2.4351676,2.254887,2.0771472,1.9052836,1.7512205,1.6163577,1.5096642,1.4335139,1.3803941,1.3437597,1.3156025,1.2936391,1.2733635,1.2546613,1.2361627,1.2124684,1.1836954,1.1495895,1.113669,1.0743669,1.0372468,1.0042735,0.9749148,0.95127624,0.92919105,0.9089434,0.8897007,0.8716944,0.85585886,0.8495063,0.8510509,0.8600425,0.87419236,0.8893847,0.89615923,0.88574475,0.8591933,0.82643676,0.7943778,0.7677602,0.74578595,0.7306844,0.71775144,0.7092449,0.70380074,0.69840664,0.696,0.69631994,0.69936275,0.7028392,0.70426154,0.7047263,0.70595855,0.7067609,0.70833063,0.7106505,0.7130497,0.71522653,0.718267,0.72141635,0.7246395,0.7274499,0.7298021,0.73208445,0.7327129,0.73408693,0.7366403,0.7412126,0.7457103,0.758032,0.7721489,0.79009575,0.80730844,0.8326269,0.8702089,0.91257674,0.9333383,0.9380907,0.9286576,0.91660994,0.91101235,0.92248017,0.9458377
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P165_OP129_2023_08_16_Experiment1\2023_08_16_14_33_18\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P165,2023_08_16_14_33_18,P165#2023_08_16_14_33_18#CSV1,csv_spectrum,0,train,0.19244358,0.18938299,0.18294053,0.17415617,0.16472358,0.15662757,0.1474187,0.14079808,0.1362104,0.13380276,0.13405362,0.13383195,0.13316737,0.13220324,0.131,0.1325613,0.13950588,0.15162663,0.1680951,0.19082813,0.21743318,0.24511437,0.27185926,0.2949401,0.3124629,0.32516214,0.3341191,0.34066564,0.34596357,0.3501893,0.35363802,0.3584453,0.36437145,0.3727264,0.38293484,0.39470962,0.40889576,0.42212552,0.43537387,0.44745263,0.45744458,0.46658048,0.47529453,0.48370665,0.4918987,0.4980333,0.4997325,0.4975008,0.49194542,0.4837975,0.4754685,0.471154,0.47490785,0.4859032,0.5010481,0.516895,0.5304724,0.54139954,0.54995614,0.5561097,0.5605691,0.5636643,0.56553555,0.566,0.56562716,0.563554,0.56106323,0.5595516,0.5588471,0.55741215,0.5558766,0.55392283,0.55175865,0.54944223,0.54749936,0.54523134,0.54292524,0.5403754,0.53800076,0.53582054,0.5344777,0.5328806,0.5318503,0.52946603,0.5256055,0.5215255,0.51376426,0.5045046,0.49430057,0.48344442,0.46911165,0.45024732,0.43129018,0.42043895,0.41682872,0.41598406,0.41835603,0.4196766,0.41860747,0.42029348
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P165_OP129_2023_08_16_Experiment1\2023_08_16_14_33_18\_hypergui_1\spectrum_fromCSV5_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P165,2023_08_16_14_33_18,P165#2023_08_16_14_33_18#CSV5,csv_spectrum,0,train,1.6479523,1.663984,1.6985942,1.7478029,1.8034865,1.8538845,1.9144785,1.9604285,1.9935546,2.0113885,2.0095155,2.0111704,2.0161486,2.0234149,2.0359938,2.0207102,1.9696486,1.8863342,1.7832254,1.6563821,1.5258636,1.4060303,1.3024708,1.2209829,1.1632695,1.1234313,1.0962577,1.0768539,1.0614218,1.0492814,1.0394814,1.0259793,1.0095814,0.98691064,0.9598904,0.92960495,0.89429504,0.86245257,0.8315501,0.8041846,0.78209955,0.76232475,0.7438206,0.72627664,0.7094825,0.69708836,0.6936823,0.6981581,0.70938754,0.7260889,0.7434547,0.7525703,0.7446345,0.72174585,0.6910532,0.6599155,0.63398737,0.61359775,0.5979167,0.58678967,0.57880276,0.57329637,0.5699821,0.569,0.56982017,0.57349217,0.5779217,0.5806195,0.5818793,0.58445036,0.5872089,0.5907299,0.59464455,0.5988516,0.602394,0.6065451,0.61078364,0.61549115,0.6198953,0.62395597,0.62646526,0.6294579,0.63139325,0.63588625,0.64320433,0.6509971,0.66599077,0.6841783,0.7046115,0.7268189,0.7569145,0.79795825,0.84097415,0.86645603,0.8750799,0.87710834,0.87142247,0.8682709,0.8708216,0.86680204
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P166_OP130_2023_08_17_Experiment1\2023_08_17_14_03_17\_hypergui_1\spectrum_fromCSV1_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P166,2023_08_17_14_03_17,P166#2023_08_17_14_03_17#CSV1,csv_spectrum,0,train,0.138423,0.13067895,0.1219489,0.11210937,0.10344449,0.096017554,0.08829318,0.08361745,0.08065419,0.079194814,0.07956338,0.079011366,0.07846261,0.07753177,0.07641952,0.07821358,0.08469023,0.09550312,0.10982305,0.1279915,0.1506492,0.17424534,0.19701996,0.21685751,0.23238388,0.24399713,0.25289983,0.26057887,0.2673642,0.2727319,0.27745292,0.2825293,0.28881195,0.29701722,0.30653885,0.318089,0.33051735,0.34313464,0.35536522,0.3663754,0.3761636,0.3850304,0.39368206,0.4020143,0.41007897,0.41643137,0.41929471,0.41834462,0.41401094,0.4074601,0.40067762,0.39777923,0.40243798,0.4143714,0.4300933,0.44624197,0.4601236,0.4714955,0.47997534,0.4869931,0.49192765,0.49534553,0.49755374,0.49856204,0.49828798,0.49688005,0.49474496,0.493713,0.49272197,0.49174207,0.49037397,0.48885798,0.48721492,0.48542538,0.48334354,0.48143452,0.4795509,0.47748122,0.4753858,0.47355935,0.4722732,0.4710428,0.47004128,0.46878862,0.46672744,0.46354815,0.45776933,0.4507874,0.4434767,0.43468797,0.4231925,0.407391,0.3917818,0.38208964,0.379973,0.38040194,0.38258672,0.38466159,0.38411742,0.38543934
\\ces-tp3\OE0645-data-uro\TIVITA_Cat\Cat_Pig_UMM\Cat_uro_kidney\Cat_uro_kidney_glob_0m\data\P166_OP130_2023_08_17_Experiment1\2023_08_17_14_03_17\_hypergui_1\spectrum_fromCSV5_(500.0-995.0)_masked_data_0_derivative.csv,kidney_glob,P166,2023_08_17_14_03_17,P166#2023_08_17_14_03_17#CSV5,csv_spectrum,0,train,1.9774411,2.0350118,2.1041532,2.1882803,2.2687201,2.3432243,2.4270926,2.481503,2.5175846,2.5358443,2.5312014,2.5381637,2.545133,2.5570674,2.571517,2.548312,2.468755,2.3485963,2.2088847,2.0557916,1.8928013,1.747291,1.6244502,1.5285147,1.4593647,1.4105989,1.3747618,1.3448496,1.3191435,1.2992661,1.282104,1.263973,1.2419795,1.2139652,1.1824107,1.1454241,1.1070962,1.0696323,1.0346093,1.0040967,0.9777311,0.95443296,0.93221164,0.91126764,0.89140546,0.8760336,0.8691813,0.8714497,0.8818629,0.89781225,0.9145981,0.9218581,0.9102143,0.8809926,0.84375316,0.80689394,0.77626014,0.7518457,0.7340206,0.7195053,0.7094236,0.70249975,0.6980517,0.6960273,0.6965771,0.6994066,0.7037129,0.7058009,0.70781016,0.70980096,0.712587,0.7156833,0.71904993,0.7227297,0.72702754,0.73098505,0.73490524,0.7392305,0.7436286,0.747478,0.75019765,0.7528063,0.7549348,0.7576033,0.76200986,0.768845,0.78138983,0.7967595,0.81311,0.8331268,0.85992813,0.8979819,0.9370502,0.9621,0.9676551,0.96652687,0.96079993,0.95539135,0.9568069,0.95337147
